Reward,Throughput,Latancy,BLER,PRBs,Each_time,Totel_time
2.194712,219.4712,1971.58199,0.323516,1.093,0.439867973,22.48359251
2.654768,265.4768,1921.14907,0.312116,1.262,0.140007496,22.62360191
2.115376,211.5376,1870.92133,0.271376,1.053,0.280121326,22.76371574
1.735768,173.5768,1889.36775,0.315208,0.822,0.420334816,22.90392923
1.326048,132.6048,2039.66691,0.475732,0.643,0.143223047,23.04715443
2.526,252.6,2047.37488,0.490778,1.212,0.300119638,23.20405102
2.098368,209.8368,2053.35874,0.419304,1.089,0.442671299,23.34660268
2.667672,266.7672,2140.23456,0.550114,1.276,0.157581091,23.50418591
2.53456,253.456,2152.8752,0.63346,1.258,0.300350189,23.64695501
2.4108,241.08,2112.89505,0.54209,1.263,0.457785845,23.80439067
1.499456,149.9456,2283.45668,0.567952,0.752,0.160036325,23.96442938
1.817288,181.7288,2367.45175,0.507068,1.02,0.303443909,24.10783696
2.09336,209.336,2423.141,0.42787,1.09,0.460352898,24.26474595
1.193384,119.3384,2627.42273,0.372766,0.612,0.15985775,24.42460608
2.350632,235.0632,2636.53963,0.316372,1.205,0.301855564,24.5666039
2.423672,242.3672,2601.71507,0.273086,1.277,0.460107565,24.7248559
2.326424,232.6424,2621.62475,0.221198,1.201,0.1598773,24.88473511
2.330072,233.0072,2315.22345,0.199078,1.279,0.302683115,25.02754092
2.622192,262.2192,2281.55568,0.161254,1.321,0.460325956,25.18518376
2.341088,234.1088,2263.4526,0.293018,1.158,0.160257339,25.34544301
2.353224,235.3224,2005.91044,0.34488,1.21,0.319755554,25.50494123
2.39932,239.932,1863.4909,0.297552,1.3,0.462517262,25.64770293
2.138176,213.8176,1586.69846,0.252736,1.217,0.157885313,25.80559015
2.492072,249.2072,1552.99988,0.216914,1.239,0.31735611,25.96506095
2.123592,212.3592,1562.78892,0.243818,1.01,0.461975813,26.10968065
2.125832,212.5832,1579.10562,0.37239,1.077,0.155559301,26.26524162
1.656656,165.6656,1711.0158,0.604326,0.835,0.315589905,26.42527223
1.281704,128.1704,1902.46154,0.631402,0.664,0.475360632,26.58504295
2.13944,213.944,1717.82556,0.513128,1.186,0.160267591,26.74531221
1.584864,158.4864,1784.20885,0.43845,0.819,0.320191145,26.90523577
2.032864,203.2864,1854.7245,0.499318,1.115,0.480657339,27.06570196
2.053512,205.3512,1893.37824,0.468232,1.094,0.159748554,27.22545242
2.119952,211.9952,1913.92935,0.39402,1.138,0.319892645,27.38559651
2.087736,208.7736,1648.90018,0.319284,1.137,0.479865074,27.54556894
2.35596,235.596,1614.37014,0.276488,1.24,0.160056114,27.70562768
2.231416,223.1416,1471.29049,0.232758,1.17,0.320033789,27.86560535
1.459432,145.9432,1540.18007,0.20156,0.719,0.480216742,28.02578831
2.508864,250.8864,1560.49301,0.189084,1.347,0.146366358,28.20888972
2.497136,249.7136,1559.74301,0.15872,1.287,0.303424358,28.36594772
1.781552,178.1552,1544.42085,0.150454,0.863,0.463354588,28.52587795
2.375,237.5,1541.12244,0.227088,1.241,0.160088301,28.68596864
2.465264,246.5264,1536.13232,0.185814,1.259,0.320210695,28.84609103
1.892008,189.2008,1597.7071,0.169274,1.009,0.480317116,29.00619745
2.120208,212.0208,1647.83536,0.151906,1.07,0.160840988,29.16704035
2.404944,240.4944,1618.78285,0.144266,1.191,0.321693897,29.32789326
2.002416,200.2416,1599.77672,0.121778,0.973,0.480265856,29.48646522
2.468432,246.8432,1585.37665,0.155698,1.223,0.160063505,29.64653087
2.35468,235.468,1561.41905,0.183588,1.154,0.320423603,29.80689096
1.542008,154.2008,1628.66339,0.280504,0.762,0.480304241,29.9667716
2.513696,251.3696,1629.72162,0.291974,1.234,0.160078526,30.12685275
2.31056,231.056,1653.57219,0.32926,1.156,0.319924116,30.28669834
3.078928,307.8928,1620.4281,0.352846,1.55,0.479968548,30.44674277
2.619824,261.9824,1601.34966,0.354124,1.279,0.160749435,30.60749459
0.73476,73.476,1870.66407,0.461148,0.364,0.320108652,30.76685381
1.330576,133.0576,2014.64633,0.6806,0.66,0.479943037,30.92668819
0.916512,91.6512,2278.11108,0.66751,0.483,0.160296917,31.08698702
1.222688,122.2688,2441.54477,0.604756,0.624,0.319882154,31.24657226
2.265776,226.5776,2461.30174,0.544226,1.309,0.480403423,31.40709352
2.296,229.6,2488.98412,0.452492,1.293,0.160221338,31.56731653
1.312344,131.2344,2644.58346,0.42478,0.71,0.31981349,31.72690868
2.4686,246.86,2696.27115,0.383012,1.26,0.480009317,31.88710451
1.827504,182.7504,2747.10459,0.31209,1.168,0.160030603,32.04713726
2.270328,227.0328,2806.83988,0.269586,1.287,0.320605993,32.20771265
1.849832,184.9832,2907.47324,0.229306,0.948,0.480144739,32.3672514
1.910776,191.0776,2751.91569,0.202686,1.175,0.160223484,32.52747679
1.996608,199.6608,2802.19598,0.169864,1.214,0.320113897,32.6873672
2.500776,250.0776,2675.7316,0.138836,1.322,0.480313301,32.8475666
1.860408,186.0408,2568.46559,0.122784,1.016,0.160202503,33.00777102
2.060008,206.0008,2581.14292,0.112722,1.102,0.320198298,33.16776681
2.039208,203.9208,2447.0042,0.113642,1.037,0.480422497,33.32799101
1.89796,189.796,2447.46541,0.136878,0.953,0.159794092,33.48778725
1.753048,175.3048,2529.11697,0.21466,0.839,0.320024014,33.64801717
2.724752,272.4752,2536.48652,0.248014,1.34,0.479903698,33.80789685
2.853168,285.3168,2221.11289,0.38717,1.411,0.165455103,34.04872417
2.730456,273.0456,1900.25159,0.382844,1.379,0.324565172,34.20783424
2.751208,275.1208,1665.5316,0.312242,1.357,0.484654903,34.36792397
1.923832,192.3832,1708.76838,0.280748,0.977,0.162092686,34.53001833
2.078584,207.8584,1728.48935,0.243376,1.103,0.32050848,34.68843412
1.908536,190.8536,1773.8131,0.21774,0.986,0.480016708,34.84794235
2.402112,240.2112,1772.71779,0.201114,1.232,0.160131931,35.00807643
2.14488,214.488,1790.59529,0.189286,1.119,0.332226753,35.18017125
2.208736,220.8736,1802.968,0.162996,1.13,0.50019455,35.34813905
2.362312,236.2312,1709.14814,0.161768,1.211,0.164887667,35.51302862
2.531168,253.1168,1725.7994,0.157994,1.299,0.320025921,35.66816688
1.890072,189.0072,1764.36922,0.14317,0.989,0.480253935,35.82839489
1.801992,180.1992,1881.36407,0.175432,0.931,0.160000086,35.98839736
2.100816,210.0816,1883.74157,0.21144,1.123,0.32008934,36.14848661
2.578408,257.8408,1891.11006,0.194718,1.317,0.479971886,36.30836916
2.453584,245.3584,1829.46799,0.160746,1.276,0.16451025,36.50861192
2.371264,237.1264,1822.1792,0.132236,1.186,0.324850559,36.66895223
1.555688,155.5688,1856.65129,0.1237,0.772,0.485901833,36.8300035
2.336992,233.6992,1884.19526,0.14628,1.166,0.160276175,36.99028134
2.387608,238.7608,1847.09021,0.11885,1.22,0.318920612,37.14892578
2.489832,248.9832,1852.25451,0.106326,1.242,0.478985786,37.30899096
1.459576,145.9576,1976.81069,0.109154,0.717,0.16071558,37.46970868
2.102784,210.2784,2004.27169,0.114476,1.074,0.320696115,37.62968922
2.220224,222.0224,2037.90139,0.136088,1.116,0.480131388,37.78912449
2.442776,244.2776,1960.06735,0.146554,1.211,0.160192013,37.94931865
2.297408,229.7408,1934.91439,0.15303,1.152,0.319947481,38.10907412
2.061808,206.1808,1919.93622,0.160478,1.036,0.479979515,38.26910615
1.92604,192.604,1976.90019,0.160144,0.962,0.160246134,38.42935467
2.044432,204.4432,2038.49446,0.158026,1.017,0.320239305,38.58934784
2.53252,253.252,2014.3986,0.14859,1.253,0.480240822,38.74934936
2.540248,254.0248,1981.57968,0.149264,1.271,0.159999609,38.90935111
2.600424,260.0424,1993.75022,0.149718,1.236,0.320058584,39.06941009
2.427416,242.7416,1858.32478,0.150516,1.189,0.480185032,39.22953653
2.24444,224.444,1775.25325,0.158022,1.101,0.160142422,39.38968134
2.662752,266.2752,1829.32771,0.277014,1.299,0.319983721,39.54952264
2.452072,245.2072,1844.26176,0.263144,1.202,0.480480433,39.71001935
1.810696,181.0696,1929.35937,0.25254,0.904,0.160865545,39.87088656
